problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Hemose in ICPC ?,http://codeforces.com/contest/1592/problem/D,D,2300,Codeforces Round #746 (Div. 2),http://codeforces.com/contest/1592
Mathematics Curriculum,http://codeforces.com/contest/1581/problem/D,D,2600,Codeforces Round #745 (Div. 2),http://codeforces.com/contest/1581
Xor of 3,http://codeforces.com/contest/1573/problem/D,D,2500,Codeforces Round #743 (Div. 2),http://codeforces.com/contest/1573
Expression Evaluation Error,http://codeforces.com/contest/1567/problem/D,D,2000,Codeforces Round #742 (Div. 2),http://codeforces.com/contest/1567
Two Hundred Twenty One (easy version),http://codeforces.com/contest/1562/problem/D1,D1,1700,Codeforces Round #741 (Div. 2),http://codeforces.com/contest/1562
Two Hundred Twenty One (hard version),http://codeforces.com/contest/1562/problem/D2,D2,2200,Codeforces Round #741 (Div. 2),http://codeforces.com/contest/1562
Mocha and Diana (Easy Version),http://codeforces.com/contest/1559/problem/D1,D1,1400,Codeforces Round #738 (Div. 2),http://codeforces.com/contest/1559
Mocha and Diana (Hard Version),http://codeforces.com/contest/1559/problem/D2,D2,2500,Codeforces Round #738 (Div. 2),http://codeforces.com/contest/1559
Ezzat and Grid,http://codeforces.com/contest/1557/problem/D,D,2200,Codeforces Round #737 (Div. 2),http://codeforces.com/contest/1557
Integers Have Friends,http://codeforces.com/contest/1549/problem/D,D,1800,Codeforces Round #736 (Div. 2),http://codeforces.com/contest/1549
Diane,http://codeforces.com/contest/1554/problem/D,D,1800,Codeforces Round #735 (Div. 2),http://codeforces.com/contest/1554
AquaMoon and Chess,http://codeforces.com/contest/1546/problem/D,D,1900,Codeforces Round #732 (Div. 2),http://codeforces.com/contest/1546
RPD and Rap Sheet (Easy Version),http://codeforces.com/contest/1543/problem/D1,D1,1700,Codeforces Round #730 (Div. 2),http://codeforces.com/contest/1543
RPD and Rap Sheet (Hard Version),http://codeforces.com/contest/1543/problem/D2,D2,2200,Codeforces Round #730 (Div. 2),http://codeforces.com/contest/1543
Priority Queue,http://codeforces.com/contest/1542/problem/D,D,2200,Codeforces Round #729 (Div. 2),http://codeforces.com/contest/1542
Tree Array,http://codeforces.com/contest/1541/problem/D,D,2300,Codeforces Round #728 (Div. 2),http://codeforces.com/contest/1541
PriceFixed,http://codeforces.com/contest/1539/problem/D,D,1600,Codeforces Round #727 (Div. 2),http://codeforces.com/contest/1539
Deleting Divisors,http://codeforces.com/contest/1537/problem/D,D,1700,Codeforces Round #726 (Div. 2),http://codeforces.com/contest/1537
Omkar and Medians,http://codeforces.com/contest/1536/problem/D,D,2000,Codeforces Round #724 (Div. 2),http://codeforces.com/contest/1536
Kill Anton,http://codeforces.com/contest/1526/problem/D,D,2200,Codeforces Round #723 (Div. 2),http://codeforces.com/contest/1526
Kavi on Pairing Duty,http://codeforces.com/contest/1529/problem/D,D,1700,Codeforces Round #722 (Div. 2),http://codeforces.com/contest/1529
MEX Tree,http://codeforces.com/contest/1527/problem/D,D,2400,Codeforces Round #721 (Div. 2),http://codeforces.com/contest/1527
Nastia Plays with a Tree,http://codeforces.com/contest/1521/problem/D,D,2500,Codeforces Round #720 (Div. 2),http://codeforces.com/contest/1521
Cut,http://codeforces.com/contest/1516/problem/D,D,2100,Codeforces Round #717 (Div. 2),http://codeforces.com/contest/1516
Cut and Stick,http://codeforces.com/contest/1514/problem/D,D,2000,Codeforces Round #716 (Div. 2),http://codeforces.com/contest/1514
Binary Literature,http://codeforces.com/contest/1509/problem/D,D,1900,Codeforces Round #715 (Div. 2),http://codeforces.com/contest/1509
GCD and MST,http://codeforces.com/contest/1513/problem/D,D,2000,Divide by Zero 2021 and Codeforces Round #714 (Div. 2),http://codeforces.com/contest/1513
3-Coloring,http://codeforces.com/contest/1504/problem/D,D,1700,Codeforces Round #712 (Div. 2),http://codeforces.com/contest/1504
Bananas in a Microwave,http://codeforces.com/contest/1498/problem/D,D,2200,CodeCraft-21 and Codeforces Round #711 (Div. 2),http://codeforces.com/contest/1498
Genius,http://codeforces.com/contest/1497/problem/D,D,2500,Codeforces Round #708 (Div. 2),http://codeforces.com/contest/1497
Let's Go Hiking,http://codeforces.com/contest/1496/problem/D,D,1900,Codeforces Round #706 (Div. 2),http://codeforces.com/contest/1496
GCD of an Array,http://codeforces.com/contest/1493/problem/D,D,2100,Codeforces Round #705 (Div. 2),http://codeforces.com/contest/1493
Genius's Gambit,http://codeforces.com/contest/1492/problem/D,D,1900,Codeforces Round #704 (Div. 2),http://codeforces.com/contest/1492
Max Median,http://codeforces.com/contest/1486/problem/D,D,2100,Codeforces Round #703 (Div. 2),http://codeforces.com/contest/1486
Multiples and Power Differences,http://codeforces.com/contest/1485/problem/D,D,2200,Codeforces Round #701 (Div. 2),http://codeforces.com/contest/1485
Painting the Array I,http://codeforces.com/contest/1480/problem/D1,D1,1900,Codeforces Round #700 (Div. 2),http://codeforces.com/contest/1480
Painting the Array II,http://codeforces.com/contest/1480/problem/D2,D2,2100,Codeforces Round #700 (Div. 2),http://codeforces.com/contest/1480
AB Graph,http://codeforces.com/contest/1481/problem/D,D,2000,Codeforces Round #699 (Div. 2),http://codeforces.com/contest/1481
Nezzar and Board,http://codeforces.com/contest/1478/problem/D,D,1800,Codeforces Round #698 (Div. 2),http://codeforces.com/contest/1478
Cleaning,http://codeforces.com/contest/1474/problem/D,D,2200,Codeforces Round #696 (Div. 2),http://codeforces.com/contest/1474
Sum of Paths,http://codeforces.com/contest/1467/problem/D,D,2200,Codeforces Round #695 (Div. 2),http://codeforces.com/contest/1467
Strange Definition,http://codeforces.com/contest/1471/problem/D,D,1900,Codeforces Round #694 (Div. 2),http://codeforces.com/contest/1471
Glass Half Spilled,http://codeforces.com/contest/1459/problem/D,D,2000,Codeforces Round #691 (Div. 2),http://codeforces.com/contest/1459
Checkpoints,http://codeforces.com/contest/1453/problem/D,D,1900,Codeforces Round #688 (Div. 2),http://codeforces.com/contest/1453
Circle Game,http://codeforces.com/contest/1451/problem/D,D,1700,Codeforces Round #685 (Div. 2),http://codeforces.com/contest/1451
Graph Subset Problem,http://codeforces.com/contest/1440/problem/D,D,2600,Codeforces Round #684 (Div. 2),http://codeforces.com/contest/1440
Powerful Ksenia,http://codeforces.com/contest/1438/problem/D,D,2200,Codeforces Round #682 (Div. 2),http://codeforces.com/contest/1438
Bandit in a City,http://codeforces.com/contest/1436/problem/D,D,1900,Codeforces Round #678 (Div. 2),http://codeforces.com/contest/1436
Hexagons,http://codeforces.com/contest/1421/problem/D,D,1900,Codeforces Round #676 (Div. 2),http://codeforces.com/contest/1421
Returning Home,http://codeforces.com/contest/1422/problem/D,D,2300,Codeforces Round #675 (Div. 2),http://codeforces.com/contest/1422
Make Them Equal,http://codeforces.com/contest/1417/problem/D,D,2000,Codeforces Round #673 (Div. 2),http://codeforces.com/contest/1417
Rescue Nibel!,http://codeforces.com/contest/1420/problem/D,D,1800,Codeforces Round #672 (Div. 2),http://codeforces.com/contest/1420
Sage's Birthday (easy version),http://codeforces.com/contest/1419/problem/D1,D1,1000,Codeforces Round #671 (Div. 2),http://codeforces.com/contest/1419
Sage's Birthday (hard version),http://codeforces.com/contest/1419/problem/D2,D2,1500,Codeforces Round #671 (Div. 2),http://codeforces.com/contest/1419
Three Sequences,http://codeforces.com/contest/1406/problem/D,D,2200,Codeforces Round #670 (Div. 2),http://codeforces.com/contest/1406
Discrete Centrifugal Jumps,http://codeforces.com/contest/1407/problem/D,D,2200,Codeforces Round #669 (Div. 2),http://codeforces.com/contest/1407
Tree Tag,http://codeforces.com/contest/1405/problem/D,D,1900,Codeforces Round #668 (Div. 2),http://codeforces.com/contest/1405
Stoned Game,http://codeforces.com/contest/1397/problem/D,D,1800,Codeforces Round #666 (Div. 2),http://codeforces.com/contest/1397
Maximum Distributed Tree,http://codeforces.com/contest/1401/problem/D,D,1800,Codeforces Round #665 (Div. 2),http://codeforces.com/contest/1401
Boboniu Chats with Du,http://codeforces.com/contest/1395/problem/D,D,1800,Codeforces Round #664 (Div. 2),http://codeforces.com/contest/1395
505,http://codeforces.com/contest/1391/problem/D,D,2000,Codeforces Round #663 (Div. 2),http://codeforces.com/contest/1391
Rarity and New Dress,http://codeforces.com/contest/1393/problem/D,D,2100,Codeforces Round #662 (Div. 2),http://codeforces.com/contest/1393
Captain Flint and Treasure,http://codeforces.com/contest/1388/problem/D,D,2000,Codeforces Round #660 (Div. 2),http://codeforces.com/contest/1388
GameGame,http://codeforces.com/contest/1384/problem/D,D,1900,Codeforces Round #659 (Div. 2),http://codeforces.com/contest/1384
Unmerge,http://codeforces.com/contest/1382/problem/D,D,1800,Codeforces Round #658 (Div. 2),http://codeforces.com/contest/1382
New Passenger Trams,http://codeforces.com/contest/1379/problem/D,D,2300,Codeforces Round #657 (Div. 2),http://codeforces.com/contest/1379
Omkar and Circle,http://codeforces.com/contest/1372/problem/D,D,2100,Codeforces Round #655 (Div. 2),http://codeforces.com/contest/1372
Grid-00100,http://codeforces.com/contest/1371/problem/D,D,1600,Codeforces Round #654 (Div. 2),http://codeforces.com/contest/1371
TediousLee,http://codeforces.com/contest/1369/problem/D,D,1900,Codeforces Round #652 (Div. 2),http://codeforces.com/contest/1369
Odd-Even Subsequence,http://codeforces.com/contest/1370/problem/D,D,2000,Codeforces Round #651 (Div. 2),http://codeforces.com/contest/1370
Ehab's Last Corollary,http://codeforces.com/contest/1364/problem/D,D,2100,Codeforces Round #649 (Div. 2),http://codeforces.com/contest/1364
Solve The Maze,http://codeforces.com/contest/1365/problem/D,D,1700,Codeforces Round #648 (Div. 2),http://codeforces.com/contest/1365
Johnny and Contribution,http://codeforces.com/contest/1362/problem/D,D,1700,"Codeforces Round #647 (Div. 2) - Thanks, Algo Muse!",http://codeforces.com/contest/1362
Guess The Maximums,http://codeforces.com/contest/1363/problem/D,D,2100,Codeforces Round #646 (Div. 2),http://codeforces.com/contest/1363
The Best Vacation,http://codeforces.com/contest/1358/problem/D,D,1900,Codeforces Round #645 (Div. 2),http://codeforces.com/contest/1358
Game With Array,http://codeforces.com/contest/1355/problem/D,D,1400,Codeforces Round #643 (Div. 2),http://codeforces.com/contest/1355
Orac and Medians,http://codeforces.com/contest/1350/problem/D,D,2000,Codeforces Round #641 (Div. 2),http://codeforces.com/contest/1350
Monopole Magnets,http://codeforces.com/contest/1345/problem/D,D,2000,Codeforces Round #639 (Div. 2),http://codeforces.com/contest/1345
Phoenix and Science,http://codeforces.com/contest/1348/problem/D,D,1900,Codeforces Round #638 (Div. 2),http://codeforces.com/contest/1348
Nastya and Scoreboard,http://codeforces.com/contest/1341/problem/D,D,1700,"Codeforces Round #637 (Div. 2) - Thanks, Ivan Belonogov!",http://codeforces.com/contest/1341
Xenia and Colorful Gems,http://codeforces.com/contest/1337/problem/D,D,1700,Codeforces Round #635 (Div. 2),http://codeforces.com/contest/1337
Edge Weight Assignment,http://codeforces.com/contest/1339/problem/D,D,1800,Codeforces Round #633 (Div. 2),http://codeforces.com/contest/1339
Challenges in school №41,http://codeforces.com/contest/1333/problem/D,D,2100,Codeforces Round #632 (Div. 2),http://codeforces.com/contest/1333
