problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Gregor and Cryptography,http://codeforces.com/contest/1549/problem/A,A,800,Codeforces Round #736 (Div. 2),http://codeforces.com/contest/1549
Cherry,http://codeforces.com/contest/1554/problem/A,A,800,Codeforces Round #735 (Div. 2),http://codeforces.com/contest/1554
AquaMoon and Two Arrays,http://codeforces.com/contest/1546/problem/A,A,800,Codeforces Round #732 (Div. 2),http://codeforces.com/contest/1546
Exciting Bets,http://codeforces.com/contest/1543/problem/A,A,900,Codeforces Round #730 (Div. 2),http://codeforces.com/contest/1543
Odd Set,http://codeforces.com/contest/1542/problem/A,A,800,Codeforces Round #729 (Div. 2),http://codeforces.com/contest/1542
Pretty Permutations,http://codeforces.com/contest/1541/problem/A,A,800,Codeforces Round #728 (Div. 2),http://codeforces.com/contest/1541
Contest Start,http://codeforces.com/contest/1539/problem/A,A,1000,Codeforces Round #727 (Div. 2),http://codeforces.com/contest/1539
Arithmetic Array,http://codeforces.com/contest/1537/problem/A,A,800,Codeforces Round #726 (Div. 2),http://codeforces.com/contest/1537
Omkar and Bad Story,http://codeforces.com/contest/1536/problem/A,A,800,Codeforces Round #724 (Div. 2),http://codeforces.com/contest/1536
Mean Inequality,http://codeforces.com/contest/1526/problem/A,A,800,Codeforces Round #723 (Div. 2),http://codeforces.com/contest/1526
Eshag Loves Big Arrays,http://codeforces.com/contest/1529/problem/A,A,800,Codeforces Round #722 (Div. 2),http://codeforces.com/contest/1529
And Then There Were K,http://codeforces.com/contest/1527/problem/A,A,800,Codeforces Round #721 (Div. 2),http://codeforces.com/contest/1527
Nastia and Nearly Good Numbers,http://codeforces.com/contest/1521/problem/A,A,1000,Codeforces Round #720 (Div. 2),http://codeforces.com/contest/1521
Tit for Tat,http://codeforces.com/contest/1516/problem/A,A,800,Codeforces Round #717 (Div. 2),http://codeforces.com/contest/1516
Perfectly Imperfect Array,http://codeforces.com/contest/1514/problem/A,A,800,Codeforces Round #716 (Div. 2),http://codeforces.com/contest/1514
Average Height,http://codeforces.com/contest/1509/problem/A,A,800,Codeforces Round #715 (Div. 2),http://codeforces.com/contest/1509
Array and Peaks,http://codeforces.com/contest/1513/problem/A,A,800,Divide by Zero 2021 and Codeforces Round #714 (Div. 2),http://codeforces.com/contest/1513
Déjà Vu,http://codeforces.com/contest/1504/problem/A,A,800,Codeforces Round #712 (Div. 2),http://codeforces.com/contest/1504
GCD Sum,http://codeforces.com/contest/1498/problem/A,A,800,CodeCraft-21 and Codeforces Round #711 (Div. 2),http://codeforces.com/contest/1498
Meximization,http://codeforces.com/contest/1497/problem/A,A,800,Codeforces Round #708 (Div. 2),http://codeforces.com/contest/1497
Split it!,http://codeforces.com/contest/1496/problem/A,A,900,Codeforces Round #706 (Div. 2),http://codeforces.com/contest/1496
Anti-knapsack,http://codeforces.com/contest/1493/problem/A,A,800,Codeforces Round #705 (Div. 2),http://codeforces.com/contest/1493
Three swimmers,http://codeforces.com/contest/1492/problem/A,A,800,Codeforces Round #704 (Div. 2),http://codeforces.com/contest/1492
Shifting Stacks,http://codeforces.com/contest/1486/problem/A,A,900,Codeforces Round #703 (Div. 2),http://codeforces.com/contest/1486
Add and Divide,http://codeforces.com/contest/1485/problem/A,A,1000,Codeforces Round #701 (Div. 2),http://codeforces.com/contest/1485
Yet Another String Game,http://codeforces.com/contest/1480/problem/A,A,800,Codeforces Round #700 (Div. 2),http://codeforces.com/contest/1480
Space Navigation,http://codeforces.com/contest/1481/problem/A,A,800,Codeforces Round #699 (Div. 2),http://codeforces.com/contest/1481
Nezzar and Colorful Balls,http://codeforces.com/contest/1478/problem/A,A,800,Codeforces Round #698 (Div. 2),http://codeforces.com/contest/1478
Puzzle From the Future,http://codeforces.com/contest/1474/problem/A,A,800,Codeforces Round #696 (Div. 2),http://codeforces.com/contest/1474
Wizard of Orz,http://codeforces.com/contest/1467/problem/A,A,900,Codeforces Round #695 (Div. 2),http://codeforces.com/contest/1467
Strange Partition,http://codeforces.com/contest/1471/problem/A,A,900,Codeforces Round #694 (Div. 2),http://codeforces.com/contest/1471
Red-Blue Shuffle,http://codeforces.com/contest/1459/problem/A,A,800,Codeforces Round #691 (Div. 2),http://codeforces.com/contest/1459
Cancel the Trains,http://codeforces.com/contest/1453/problem/A,A,800,Codeforces Round #688 (Div. 2),http://codeforces.com/contest/1453
